x,y,z,
36.20574,37.1911,1.216767,
36.20262,37.19112,-7.656743,
36.20495,37.19116,0.073712,
36.20333,37.19117,0.843788,
36.20404,37.19117,2.625351,
36.20452,37.19118,0.785837,
36.20638,37.19118,-2.998339,
36.20478,37.19119,1.294032,
36.20537,37.19119,0.969961,
36.20029,37.1912,1.002174,
36.20465,37.19121,1.131737,
36.20591,37.19124,0.861413,
36.2035,37.19124,2.464715,
36.19838,37.19125,-0.819755,
36.19867,37.19126,0.020276,
36.19903,37.19127,0.601205,
36.19884,37.19127,0.479866,
36.20144,37.19127,0.742322,
36.20239,37.19128,0.939763,
36.20266,37.19128,-0.785379,
36.2033,37.19128,0.476708,
36.20402,37.19128,6.225664,
36.19794,37.1913,0.145874,
36.20605,37.1913,-0.831541,
36.19855,37.19133,1.527729,
36.20108,37.19133,-1.631465,
36.19804,37.19134,0.218543,
36.20427,37.19136,0.992092,
36.19822,37.19137,-0.817454,
36.20399,37.19138,3.800589,
36.2019,37.1914,2.790712,
36.20513,37.1914,4.531266,
36.205,37.19142,-0.288207,
36.20542,37.19142,2.94635,
36.19867,37.19144,1.008728,
36.19895,37.19145,0.984268,
36.19883,37.19145,0.549671,
36.19837,37.19145,-1.054653,
36.20345,37.19145,-4.496864,
36.19804,37.19146,2.188846,
36.20486,37.19146,1.464282,
36.19794,37.19147,0.469782,
36.20612,37.19147,-2.870085,
36.20474,37.19148,1.305836,
36.19822,37.1915,0.490395,
36.20435,37.1915,0.848544,
36.20424,37.19151,0.723346,
36.20464,37.19152,0.887654,
36.20545,37.19153,1.30032,
36.20566,37.19153,-1.273685,
36.20397,37.19153,6.83754,
36.201,37.19154,0.329044,
36.20447,37.19155,0.431654,
36.1989,37.19159,1.05967,
36.19867,37.19159,1.089955,
36.20589,37.1916,3.401985,
36.19814,37.19161,0.731035,
36.19797,37.19161,2.349117,
36.20394,37.19162,-3.827727,
36.20647,37.19163,-1.364911,
36.20566,37.19165,-1.334877,
36.20521,37.19166,-2.462653,
36.20427,37.19166,2.392597,
36.20548,37.19168,1.755014,
36.2028,37.1917,-4.509613,
36.2032,37.19171,-1.156109,
36.19873,37.19174,-1.431033,
36.2065,37.19174,0.968138,
36.20262,37.19174,0.908092,
36.20491,37.19175,0.628525,
36.20244,37.19175,0.351658,
36.19817,37.19177,-0.589162,
36.20616,37.19177,-2.531507,
36.19798,37.19178,-0.18725,
36.19886,37.19178,-1.026871,
36.20228,37.19178,1.0578,
36.19807,37.19179,0.834129,
36.20423,37.19179,2.389987,
36.20457,37.19182,0.671668,
36.20317,37.19183,0.903249,
36.20389,37.19184,-1.12073,
36.2034,37.19186,-3.399884,
36.2042,37.19187,5.081257,
36.19883,37.19189,0.335029,
36.20553,37.19189,0.970253,
36.20652,37.19189,0.768642,
36.19849,37.19192,1.029074,
36.20234,37.19192,0.942807,
36.20527,37.19193,0.888845,
36.20314,37.19193,0.924489,
36.1987,37.19195,1.228401,
36.19798,37.19198,1.254969,
36.20181,37.19198,4.959398,
36.20335,37.19198,-2.9115,
36.20508,37.19199,0.192168,
36.20598,37.19199,2.869971,
36.20416,37.19199,1.307332,
36.20491,37.192,1.022571,
36.20466,37.192,1.389239,
36.20385,37.19203,-0.075961,
36.20312,37.19204,1.033692,
36.19821,37.19206,1.592779,
36.20579,37.19207,1.232992,
36.19849,37.19208,-0.52673,
36.20476,37.19209,1.475606,
36.20267,37.19209,-10.05653,
36.20332,37.19209,-3.191282,
36.20547,37.19213,0.980869,
36.20431,37.19213,-1.205014,
36.20451,37.19214,-0.011686,
36.20308,37.19214,0.859152,
36.20382,37.19216,-0.38591,
36.20632,37.19217,-3.485299,
36.20407,37.19218,0.714521,
36.2033,37.19219,-2.762475,
36.20577,37.19222,0.209545,
36.20528,37.19223,0.054631,
36.20584,37.19223,0.400978,
36.20149,37.19224,-2.89847,
36.19912,37.19225,1.018109,
36.19822,37.19226,-1.120465,
36.20306,37.19227,0.871805,
36.20377,37.19228,0.598419,
36.20404,37.19228,1.04033,
36.19794,37.19231,0.232406,
36.20166,37.19231,0.562114,
36.19802,37.19232,0.929889,
36.19853,37.19232,0.034182,
36.20326,37.19232,-2.831793,
36.20475,37.19233,0.031964,
36.20237,37.19233,0.680819,
36.19811,37.19236,0.539577,
36.20636,37.19236,-3.713441,
36.20402,37.19237,0.854081,
36.20449,37.19237,0.272187,
36.20425,37.19237,0.189733,
36.203,37.19241,0.743669,
36.20374,37.19243,0.083425,
36.2031,37.19245,1.082744,
36.20323,37.19245,-2.936954,
36.20583,37.19246,0.499934,
36.2059,37.19246,1.590466,
36.20561,37.19251,0.389347,
36.19799,37.19253,0.207666,
36.19821,37.19254,-0.58993,
36.20592,37.19257,0.198135,
36.20544,37.19258,0.29489,
36.20523,37.19261,0.271623,
36.20509,37.19262,-0.989147,
36.20574,37.19263,0.689509,
36.20449,37.19265,-1.576191,
36.20566,37.19265,0.576639,
36.20489,37.19267,-3.75384,
36.20029,37.19269,-1.810108,
36.20009,37.19271,0.168192,
36.19978,37.19272,-1.897462,
36.19805,37.19275,0.213945,
36.19819,37.19275,-0.135089,
36.19949,37.19275,-1.014284,
36.20584,37.19275,0.851777,
36.19837,37.19276,-1.396188,
36.19879,37.19276,1.545521,
36.19929,37.19276,-0.63872,
36.20426,37.19276,-0.94467,
36.20402,37.19277,0.926318,
36.20418,37.19277,0.867036,
36.20412,37.19277,0.762678,
36.2033,37.19277,1.471589,
36.20547,37.19278,-0.810158,
36.20309,37.19279,0.816369,
36.20535,37.19279,0.206836,
36.2032,37.19279,0.915014,
36.2046,37.1928,-0.653167,
36.20374,37.1928,0.914026,
36.20365,37.1928,0.910301,
36.20303,37.1928,0.831047,
36.20358,37.19281,0.825804,
36.19838,37.19286,-0.771015,
36.20248,37.19286,-4.719033,
36.19805,37.19289,0.914684,
36.1982,37.1929,-1.367926,
36.2023,37.1929,0.76415,
36.20549,37.1929,-0.090516,
36.19863,37.19292,0.606094,
36.2048,37.19293,0.175357,
36.19879,37.19294,-0.200692,
36.20538,37.19294,1.013747,
36.20291,37.19294,1.0019,
36.19976,37.19296,1.071867,
36.19987,37.19296,-0.678631,
36.20209,37.19296,2.511256,
36.19849,37.19297,0.678863,
36.19937,37.19297,0.381095,
36.20453,37.19297,0.606474,
36.19838,37.19298,0.961412,
36.20431,37.19299,0.255337,
36.2062,37.19299,-0.505967,
36.20423,37.19299,-4.337003,
36.19793,37.19301,0.696407,
36.19805,37.19301,0.904991,
36.19819,37.19301,0.385157,
36.19912,37.19301,0.85262,
36.20405,37.19301,1.115664,
36.20605,37.19302,0.673808,
36.199,37.19303,0.786295,
36.19876,37.19303,-2.354712,
36.20386,37.19303,0.828481,
36.19964,37.19304,1.255732,
36.2036,37.19304,0.846917,
36.20368,37.19304,0.832122,
36.20377,37.19304,0.517515,
36.2034,37.19306,1.258274,
36.19837,37.1931,0.665234,
36.20309,37.1931,0.882997,
36.20294,37.19311,0.703346,
36.20623,37.19313,-1.108345,
36.19879,37.19314,-2.102768,
36.20573,37.19315,0.810902,
36.20586,37.19315,1.426888,
36.19819,37.19319,-0.316059,
36.19863,37.19321,-0.905395,
36.19802,37.19322,1.860504,
36.20549,37.19322,0.833218,
36.19902,37.19323,0.606051,
36.19837,37.19327,0.125302,
36.20607,37.19327,0.615045,
36.20431,37.19331,0.045253,
36.20521,37.19332,-0.210791,
36.20588,37.19332,2.496829,
36.20411,37.19333,0.206352,
36.20576,37.19333,0.175614,
36.20623,37.19333,0.164934,
36.20372,37.19338,0.297882,
36.20355,37.19339,1.412486,
36.2045,37.19339,0.653676,
36.20548,37.19339,0.518013,
36.2034,37.1934,1.96205,
36.20323,37.19342,0.271168,
36.20308,37.19343,0.823598,
36.20294,37.19343,0.343207,
36.20608,37.19343,-0.006024,
36.20407,37.19347,1.192699,
36.20422,37.19348,-0.056284,
36.20396,37.19348,2.246222,
36.20239,37.19349,-0.128824,
36.20436,37.19349,0.198701,
36.2023,37.1935,-0.43563,
36.20153,37.19351,0.044941,
36.20219,37.19351,-0.302876,
36.20379,37.19351,1.209845,
36.20364,37.19352,0.863491,
36.20341,37.19355,1.111145,
36.20191,37.19356,-0.312372,
36.19839,37.19357,0.790844,
36.19852,37.19357,0.873873,
36.19824,37.19357,1.572082,
36.20591,37.19357,2.304413,
36.20626,37.19358,1.959867,
36.20302,37.19359,0.857112,
36.19905,37.19362,0.035522,
36.20272,37.19362,0.5323,
36.2065,37.19362,4.561255,
36.19878,37.19363,-1.430225,
36.19932,37.19363,-0.765248,
36.19918,37.19363,0.013357,
36.2012,37.19363,-0.645426,
36.20104,37.19365,1.426059,
36.2061,37.19365,0.183723,
36.20158,37.19366,0.647471,
36.20088,37.19367,0.439271,
36.20425,37.19368,-2.157369,
36.19819,37.19368,0.724802,
36.20219,37.19369,1.152656,
36.202,37.19372,1.623595,
36.20581,37.19372,0.796634,
36.20374,37.19373,0.16899,
36.20187,37.19374,1.274088,
36.20177,37.19375,1.372357,
36.20344,37.19377,-1.443964,
36.20593,37.19377,2.041414,
36.19905,37.19378,1.078928,
36.19921,37.19378,3.173501,
36.20166,37.19378,1.136129,
36.20651,37.19378,1.064211,
36.20129,37.19382,0.413545,
36.20527,37.19383,-0.403012,
36.20611,37.19383,0.403785,
36.20111,37.19384,1.4118,
36.20277,37.19384,0.523031,
36.20557,37.19384,-1.035119,
36.20098,37.19385,0.870975,
36.20085,37.19386,0.847573,
36.20264,37.19387,0.251893,
36.20424,37.19387,-1.780101,
36.20405,37.19389,1.175999,
36.20541,37.19389,0.574638,
36.20593,37.19389,2.359064,
36.20394,37.1939,0.816754,
36.20583,37.1939,0.203158,
36.20383,37.19391,0.078592,
36.2021,37.19393,0.030319,
36.20234,37.19395,0.310781,
36.20191,37.19396,1.498381,
36.2022,37.19396,0.39677,
36.20652,37.19396,-0.514379,
36.2032,37.19398,-1.915894,
36.19935,37.194,-0.326186,
36.2031,37.19401,0.081018,
36.20162,37.19402,0.001469,
36.2063,37.19402,0.47168,
36.20152,37.19403,0.162467,
